대사 아이디,다음 대사,발화자,텍스트,외관 아이디,유형,주재료,카테고리,연출
D00_C01_01_,D00_C01_O_,나,드디어 나만의 오마카세 식당을 열게 되었군.,,,,,
D00_C01_O_,D00_C01_R_,나,내일부터 영업 시작이니` 오늘의 마지막 연습으로 삼겹살 덮밥을 만들어 봐야지.,,generous,돼지고기&&,덮밥,
D00_C01_R_,D00_C01_02_,나,이 정도면 만족스러워. 이것 봐` 시대에 뒤처진 스승님의 그깟 요리 철학 따위 없이도 혼자서 잘할 수 있다고.,,,,,
D00_C01_02_,EOD_D01~C01~01~,나,결국 중요한 건 결과` 즉 요리의 맛이지. 첫 번째 단계는 넘어갔어. 이제 본격적으로 시작할 차례야.,,,,,
D01_C01_01_,D01_C01_01_a&&D01_C01_01_b,박효진,하하! 드디어 오막하세의 개업이구나? 너의 오랜 소꿉친구이자` 영광스러운 첫 번째 손님의 등장이시다.,Main_001_default,,,,SB_fanfare
D01_C01_01_a,D01_C01_O_,나,어서 와.,,,,,
D01_C01_01_b,D01_C01_O_,나,어서 오십쇼.,,,,,
D01_C01_O_,D01_C01_R_positive,박효진,이미 ㅁㅁ레스토랑이 동네 원탑을 차지하고 있는데` 너라면 ㅁㅁ레스토랑과는 다른 새로운 맛을 보여주겠지? 얼마나 맛있게 하는지 한번 보자고.,Main_001_default,generous,,,
D01_C01_R_positive,EOO_D01~C02~01~,박효진,음` 맛있네! 아무튼 개업 축하하고` 앞으로도 화이팅해라.,Main_001_default,positive,,,
D01_C02_01_,D01_C02_O_,황수영,오` 우리 동네에 드디어 새로운 오마카세 식당이 생겨서 좋네요. 선택지가 두 개로 늘어났으니까요.,Main_002_default,,,,
D01_C02_O_,D01_C02_R_positive,황수영,한 곳만 계속 가면 너무 뻔하잖아요? 여기서는 어떤 메뉴가 나올지 궁금하네요.,Main_002_default,generous,,,
D01_C02_R_positive,EOO_D01~C03~O~,황수영,다양한 옵션이 있다는 건 언제나 좋은 일이죠.,Main_002_default,positive,,,
D01_C03_O_,D01_C03_R_positive&&D01_C03_R_neutral&&D01_C03_R_negative,손님,한국인은 역시 밥심이죠! 갓 지은 따뜻한 밥으로 부탁드려요!,P009,generous,,덮밥||볶음밥||구운주먹밥,
D01_C03_R_positive,EOD_D02~C01~01~,손님,맛있게 잘 먹었습니다! 다음에 또 올게요.,P009,positive,,,
D01_C03_R_neutral,EOD_D02~C01~01~,손님,아... 혹시 제가 너무 늦게 와서 밥이 다 떨어진 건가요?,P009,neutral,,,
D01_C03_R_negative,EOD_D02~C01~01~,손님,우리는 이런 걸 음식이라 부르지 않기로 약속했어요.,P009,negative,,,
D02_C01_01_,D02_C01_01_a&&D02_C01_01_b,수상한 후드,흠... 오마카세라. 그렇다면 네가 알아서 해 주는 거겠지?,Main_Hood,,,,SB_hmm
D02_C01_01_a,D02_C01_02_,나,그렇죠.,,,,,
D02_C01_01_b,D02_C01_02_,나,맞아요.,,,,,
D02_C01_02_,D02_C01_03_,수상한 후드,뭐야` 육류가 돼지고기밖에 없어? 돼지고기는 잡내가 심해. 나같이 미각이 예민한 사람들은 그걸 싫어한다고.,Main_Hood,,,,SB_question
D02_C01_03_,D02_C01_O_,나,(수상한 후드에게 <color=#0000FF>닭고기</color>를 받았다.),,,,,IA_chicken
D02_C01_O_,D02_C01_R_positive&&D02_C01_R_neutral&&D02_C01_R_negative,수상한 후드,당연히 닭고기 요리도 할 수 있겠지?,Main_Hood,normal,닭고기&&,,
D02_C01_R_positive,EOO_D02~C02~01~,수상한 후드,흠` 이게 네 실력인가. 먹어 줄 만 하지만` 아직 한참 멀었어.,Main_Hood,positive,,,
D02_C01_R_neutral,EOO_D02~C02~01~,수상한 후드,패기 넘치는 애송이로군. 실력만 믿고 까불다가는 언젠가 큰 코 다칠 것이야.,Main_Hood,neutral,,,
D02_C01_R_negative,EOO_D02~C02~01~,수상한 후드,하! 손님의 말이 말 같지 않다 이건가? 간단한 요구사항마저 무시하다니` 애송이가 우습게 구는군.,Main_Hood,negative,,,
D02_C02_01_,D02_C02_02_,이지민,안녕하세요` 여러분! 미니TV 채널의 주인장 이지민입니다. 오늘은 새로 생긴 오마카세 식당에 와봤어요!,Main_003_streaming,,,,
D02_C02_02_,D02_C02_O_,이지민,식당 이름은 오막하세! 과연 오막하세는 ㅁㅁ레스토랑의 적수가 될 수 있을까요?! 제가 직접 리뷰해 보겠습니다!,Main_003_streaming,,,,
D02_C02_O_,D02_C02_R_positive,이지민,자~ 사장님! 지금 이 가게에서 제일 자신 있는 요리로 하나 부탁드려요! 우리 구독자님들한테 솔직한 리뷰를 보여드려야 하니까요~!,Main_003_streaming,generous,,,
D02_C02_R_positive,EOO_D02~C03~O~,이지민,음음! 나쁘지 않아요! ㅁㅁ레스토랑 사장님은 긴장하셔야겠는데요~?! 어쩌면 오마카세 업계의 세대교체가 일어날지도요!,Main_003_streaming,positive,,,
D02_C03_O_,D02_C03_R_positive&&D02_C03_R_neutral&&D02_C03_R_negative,손님,"""빵이 없으면 케이크를 먹어라""라는 말은 실제로 마리 앙투아네트가 한 말이 아니래요. 어쨌든 저에게는 케이크가 없으니 빵을 먹겠어요.",P004,generous,,햄버거||샌드위치||고로케||파이||피자,
D02_C03_R_positive,EOD_D03~C01~01~,손님,손님은 왕이다! 짐이 그대에게 좋은 평판을 내리겠노라!,P004,positive,,,
D02_C03_R_neutral,EOD_D03~C01~01~,손님,제가 이걸 주문했다고요? 아닌 것 같은데...,P004,neutral,,,
D02_C03_R_negative,EOD_D03~C01~01~,손님,단두대에 사형 선고 내릴 맛.,P004,negative,,,
D03_C01_01_,D03_C01_01_a&&D03_C01_01_b,박효진,오~ 오막하세가 작심삼일로 끝나지 않은 걸 보니까` 나 말고도 오는 손님이 있긴 한가 보네? 제법인데~,Main_001_default,,,,SB_like
D03_C01_01_a,D03_C01_O_,나,당연하지.,,,,,
D03_C01_01_b,D03_C01_O_,나,내가 누군데.,,,,,
D03_C01_O_,D03_C01_R_positive,박효진,뭐` 계속 가게 운영하면 나야 좋지! 내 입이 즐거울 테니까. 오늘도 맛있는 걸로 부탁할게!,Main_001_default,generous,,,
D03_C01_R_positive,EOO_D03~C02~O~,박효진,음 역시 맛있어~ 일주일째 되는 날 다시 올게. 그때까지 망하면 안 된다!,Main_001_default,positive,,,
D03_C02_O_,D03_C02_R_positive&&D03_C02_R_neutral&&D03_C02_R_negative,강준우,이겼닭! 오늘 저녁은 치킨이닭!,Main_004_default,normal,닭고기&&,,SB_game
D03_C02_R_positive,EOO_D03~C03~O~,강준우,치킨 버프 발동!,Main_004_default,positive,,,
D03_C02_R_neutral,EOO_D03~C03~O~,강준우,그럴 수 있어. 이런 날도 있는 거지 뭐.,Main_004_default,neutral,,,
D03_C02_R_negative,EOO_D03~C03~O~,강준우,윽... 힐` 힐러가 필요해...!,Main_004_default,negative,,,
D03_C03_O_,D03_C03_R_positive,손님,배고픈 상태로 무작정 걸었더니 여기까지 왔네요. 이건 운명이겠죠? 운명적인 디쉬로 부탁해요.,P011,generous,,,
D03_C03_R_positive,EOO_D03~C04~O~,손님,푸멘.,P011,positive,,,
D03_C04_O_,D03_C04_R_positive&&D03_C04_R_neutral&&D03_C04_R_negative,손님,첫 번째 토마토는 주스가 되려 하고` 두 번째 토마토는 케찹이 되고자 하며` 세 번째 토마토는 춤을 추려고 한다. 이때 세 번째 토마토에게 있어서 삶이라는 것은 무엇일까?,P015,normal,&&토마토,,
D03_C04_R_positive,EOO_D03~C05~O~,손님,음식이 아주 담백하고 맛있네요. 여기서 상견례 해도 되겠어요.,P015,positive,,,
D03_C04_R_neutral,EOO_D03~C05~O~,손님,다른 사람이 주문한 메뉴가 잘못 나온 것 같은데` 그 사람 입맛은 좋네요.,P015,neutral,,,
D03_C04_R_negative,EOO_D03~C05~O~,손님,삶이란 대체 무엇인가......,P015,negative,,,
D03_C05_O_,D03_C05_R_positive&&D03_C05_R_neutral&&D03_C05_R_negative,손님,오늘부로 볶음밥 지지를 철회한다. 오늘부터 지지 관계에서 벗어나 볶음밥과 나는 한몸으로 일체가 된다. 볶음밥에 대한 공격은 나에 대한 공격으로 간주한다.,P017,normal,,볶음밥,
D03_C05_R_positive,EOD_D04~C01~01~,손님,느좋이네요. 합격 드리겠습니다.,P017,positive,,,
D03_C05_R_neutral,EOD_D04~C01~01~,손님,어... 어라? 어라라?,P017,neutral,,,
D03_C05_R_negative,EOD_D04~C01~01~,손님,물이 제일 맛있네요.,P017,negative,,,
D04_C01_01_,D04_C01_01_a&&D04_C01_01_b,수상한 후드,흠` 이 식당... 버섯 요리는 안 하는 건가?,Main_Hood,,,,SB_question
D04_C01_01_a,D04_C01_02_,나,어... 일단은요?,,,,,
D04_C01_01_b,D04_C01_02_,나,버섯은 없어요.,,,,,
D04_C01_02_,D04_C01_03_,수상한 후드,비건 고기라고도 불리는 고단백 식재료인데... 생각보다 요리 스타일이 보수적이군.,Main_Hood,,,,
D04_C01_03_,D04_C01_O_,나,(수상한 후드에게 <color=#0000FF>버섯</color>을 받았다.),,,,,IA_mushroom
D04_C01_O_,D04_C01_R_positive&&D04_C01_R_neutral&&D04_C01_R_negative,수상한 후드,오늘은 맛있는 버섯 요리가 먹고 싶군. 설마 고기가 없으면 맛있는 요리를 못 한다는 건 아니겠지?,Main_Hood,normal,&&버섯,,
D04_C01_R_positive,EOO_D04~C02~O~,수상한 후드,음음` 그럭저럭 나쁘지 않은 맛이군.,Main_Hood,positive,,,
D04_C01_R_neutral,EOO_D04~C02~O~,수상한 후드,이게 뭔가? 버섯을 사용하는 데에는 그토록 자신이 없었다는 뜻이라고 봐도 되겠지?,Main_Hood,neutral,,,
D04_C01_R_negative,EOO_D04~C02~O~,수상한 후드,하! 이봐 애송이` 그런 식으로 장사하면 이 바닥에서 살아남지 못할 거야. 알고 있겠지?,Main_Hood,negative,,,
D04_C02_O_,D04_C02_R_positive&&D04_C02_R_neutral&&D04_C02_R_negative,손님,"""크아아아아"" 주먹밥 중에서도 최강의 구운주먹밥이 울부짖었다.",P003,normal,,구운주먹밥,
D04_C02_R_positive,EOO_D04~C03~O~,손님,구운주먹밥은 짱쎄서 주먹밥중에 최강이엇다 빵이나 면도 이겼따 다덤벼도 이겼따,P003,positive,,,
D04_C02_R_neutral,EOO_D04~C03~O~,손님,구운주먹밥은 새상에서 하나였다 어쨌든 걔가 울부짓었다,P003,neutral,,,
D04_C02_R_negative,EOO_D04~C03~O~,손님,으악 제기랄 도망가자,P003,negative,,,
D04_C03_O_,D04_C03_R_positive&&D04_C03_R_neutral&&D04_C03_R_negative,손님,참치살이 붉은색인 이유는 운동량이 많아서 근육이 헤모글로빈이 풍부하기 때문이랍니다. 철분 보충을 위한 참치 요리 하나 부탁해요!,P006,normal,참치&&,,
D04_C03_R_positive,EOO_D04~C04~O~,손님,참치의 신선한 맛이 느껴져서 좋았어요!,P006,positive,,,
D04_C03_R_neutral,EOO_D04~C04~O~,손님,제가 빈혈로 쓰러지면... 역시 먹고 죽은 귀신이 때깔도 고왔더라고 전해주세요...,P006,neutral,,,
D04_C03_R_negative,EOO_D04~C04~O~,손님,요리를 정말 막 하시네요...,P006,negative,,,
D04_C04_O_,D04_C04_R_positive,손님,저 진짜 굶어죽을것같아요 아무거나주세요,P009,generous,,,
D04_C04_R_positive,EOO_D04~C05~O~,손님,따봉카세야 고마워,P009,positive,,,
D04_C05_O_,D04_C05_R_positive&&D04_C05_R_neutral&&D04_C05_R_negative,손님,사장님! 저 고곡 고 고고고곡 고로케 하나요.,P018,normal,,고로케,
D04_C05_R_positive,EOD_D05~C01~01~,손님,너 내 동료가 돼라.,P018,positive,,,
D04_C05_R_neutral,EOD_D05~C01~01~,손님,시련 따위 이제 그냥 웃어,P018,neutral,,,
D04_C05_R_negative,EOD_D05~C01~01~,손님,우린 불을 지펴 더 활활활,P018,negative,,,
D05_C01_01_,D05_C01_01_a&&D05_C01_01_b,수상한 마스크,음... 저기... 그...,Main_Mask,,,,SB_hmm
D05_C01_01_a,D05_C01_02_,나,누구세요?,,,,,
D05_C01_01_b,D05_C01_02_,나,어떤 걸로 드릴까요?,,,,,
D05_C01_02_,D05_C01_03_,수상한 마스크,아 그건 별로 중요하지 않고요... 이거 받으세요.,Main_Mask,,,,
D05_C01_03_,D05_C01_04_,나,(수상한 마스크에게 <color=#0000FF>면</color>을 받았다. 누구지? 어디서 본 적 있는 것 같기도 하고...),,,,,IA_noodle
D05_C01_04_,D05_C01_04_a&&D05_C01_04_b,수상한 마스크,그럼 저는 이만...,Main_Mask,,,,
D05_C01_04_a,D05_C01_O_,나,그냥 가시는 거예요?,,,,,
D05_C01_04_b,D05_C01_O_,나,뭐라도 드시고 가셔야죠.,,,,,
D05_C01_O_,D05_C01_R_positive,수상한 마스크,아... 뭐라도 먹어야` 음... 그러면 아무거나 주세요...,Main_Mask,generous,,,
D05_C01_R_positive,EOO_D05~C02~O~,수상한 마스크,... 잘 먹었습니다.,Main_Mask,positive,,,
D05_C02_O_,D05_C02_R_positive&&D05_C02_R_neutral&&D05_C02_R_negative,손님,너 봄 감자가 맛있단다. 느 집엔 이거 없지?,P004,normal,&&감자,,
D05_C02_R_positive,EOO_D05~C03~O~,손님,아` 맛있다! 너 재주 좋다!,P004,positive,,,
D05_C02_R_neutral,EOO_D05~C03~O~,손님,얘! 너 내 말을 귓등으로 들어먹니?,P004,neutral,,,
D05_C02_R_negative,EOO_D05~C03~O~,손님,난 이 감자 안 먹는다. 너나 먹어라.,P004,negative,,,
D05_C03_O_,D05_C03_R_positive,손님,아무거나요. 유자차에 휘핑크림 추가도 괜찮아요.,P010,generous,,,
D05_C03_R_positive,EOO_D05~C04~01~,손님,리뷰 이벤트 없이 리뷰를 쓰고 싶게 만든 음식은 처음이에요. 더 많은 사람들이 이 식당을 알아야 해요!,P010,positive,,,
D05_C04_01_,D05_C04_O_,최민석,음... 근손실 방지를 위해 무얼 먹어야 할까.,Main_005_default,,,,
D05_C04_O_,D05_C04_R_positive&&D05_C04_R_neutral&&D05_C04_R_negative,최민석,단백질 보충이 필요해요! 닭가슴살과 버섯을 사용해서 샌드위치를 만들어 주실 수 있나요?,Main_005_default,picky,닭고기&&버섯,샌드위치,SB_muscle
D05_C04_R_positive,EOO_D05~C05~O~,최민석,역시 진정한 오마카세는 제 기대를 저버리지 않는군요!,Main_005_default,positive,,,
D05_C04_R_neutral,EOO_D05~C05~O~,최민석,제가 너무 맛없는 요구를 했나요...? 주문이랑은 다르지만 맛은 있으니... 치팅 데이라고 하죠 뭐!,Main_005_default,neutral,,,
D05_C04_R_negative,EOO_D05~C05~O~,최민석,제 요구를 받아주는 진짜 오마카세 가게를 찾아봐야겠네요.,Main_005_default,negative,,,
D05_C05_O_,D05_C05_R_positive&&D05_C05_R_neutral&&D05_C05_R_negative,손님,오늘 엄마가 볶았다. 아니` 어쩌면 어제. - 이빵인.,P015,normal,,고로케||파이,
D05_C05_R_positive,EOO_D05~C06~O~,손님,단언컨대 오막하세는 가장 완벽한 오마카세 식당입니다.,P015,positive,,,
D05_C05_R_neutral,EOO_D05~C06~O~,손님,젊은 요리사의 패기가 느껴지는 맛이었어요.,P015,neutral,,,
D05_C05_R_negative,EOO_D05~C06~O~,손님,요리 연습 좀 더 하고 오셔야겠어요.,P015,negative,,,
D05_C06_O_,D05_C06_R_positive&&D05_C06_R_neutral&&D05_C06_R_negative,손님,CPR 할 줄 아세요? Chicken` Potato` 그리고 Rice!,P008,picky,닭고기&&감자,덮밥||볶음밥||구운주먹밥,
D05_C06_R_positive,EOO_D05~C07~01~,손님,너무 맛있어서 승천할 수도 있을 듯.,P008,positive,,,
D05_C06_R_neutral,EOO_D05~C07~01~,손님,아... 제가 너무 까다로웠나요? 죄송해요` 그냥 먹을게요.,P008,neutral,,,
D05_C06_R_negative,EOO_D05~C07~01~,손님,맛없어서 사망 o<-<,P008,negative,,,
D05_C07_01_,D05_C07_02_,이지민,오~ 아직도 버티고 계시네요? 생각보다 오래 가는데요? 아` 지금은 촬영 안 하고 있어요.,Main_003_streaming,,,,SB_smirking
D05_C07_02_,D05_C07_02_a&&D05_C07_02_b,이지민,솔직히 ㅁㅁ레스토랑 이기고 싶으시죠? 저한테 요리 하나 공짜로 주시면` 제가 기깔나게 리뷰 써 드릴게요! 당신에게도 좋은 제안 아닌가요?,Main_003_streaming,,,,SB_youtube
D05_C07_02_a,D05_C07_O_A,나,@그러죠 뭐. 홍보 많이 해주세요.,,,,,
D05_C07_02_b,D05_C07_O_B,나,%음식을 공짜로 드리긴 좀 어렵네요.,,,,,
D05_C07_O_A,D05_C07_R_A,이지민,흠흠` 역시 사장님은 현명하시네요! 사진에 예쁘게 담길 화려한 메뉴 하나 준비해 주세요!,Main_003_streaming,generous,,,
D05_C07_R_A,EOD_D06~C00~01~,이지민,맛있게 잘 먹었습니다! 제 조회수면 효과는 확실할 테니 기대하셔도 좋아요~,Main_003_streaming,positive,,,
D05_C07_O_B,D05_C07_R_B,이지민,... 뭐` 알겠어요. 그래도 배는 고프니까 아무거나 하나 먹고 갈게요.,Main_003_streaming,generous,,,
D05_C07_R_B,EOD_D06~C00~01~,이지민,저는 솔직한 리뷰를 쓸 테니` 책임은 알아서 지셔야 합니다~?,Main_003_streaming,positive,,,
D06_C00_01_,D06_C00_01_a&&D06_C00_01_b,박효진,야` 너 인터넷에 그 얘기 봤냐?,Main_001_default,,,,SB_exclamation
D06_C00_01_a,D06_C00_02_A@@D06_C00_02_B,나,무슨 얘기?,,,,,
D06_C00_01_b,D06_C00_02_A@@D06_C00_02_B,나,안 봤는데.,,,,,
D06_C00_02_A,D06_C00_03_A,박효진,너 인터넷에서 완전 화제야! 신선한 재료에 가성비까지 최고인 맛집 오마카세 식당으로 유명해졌다고!,Main_001_default,,,,SB_youtube
D06_C00_03_A,D06_C00_04_,박효진,아아` 이러다가 손님이 너무 많아져서 단골 VIP의 자리를 다른 사람들에게 빼앗기면 어떡하지~,Main_001_default,,,,
D06_C00_02_B,D06_C00_03_B,박효진,사장님도 불친절하고` 요리의 맛도 별로라서 다시 오고 싶지 않다는 리뷰 영상이 10만 조회수를 넘어가던데?!,Main_001_default,,,,SB_youtube
D06_C00_03_B,D06_C00_04_,박효진,뭐` 그래도 난 항상 네 편이다. 이 맛있는 요리를 직접 먹어보지도 않고 그런 유언비어를 믿는 사람들이 이상한 거지!,Main_001_default,,,,
D06_C00_04_,D06_C00_04_a&&D06_C00_04_b,박효진,아무튼... 인터넷에서 시끄러워지는 게 항상 좋지만은 않으니까~ 앞으로 조금 더 주의하는 게 좋을 것 같아서 말해주러 왔다.,Main_001_default,,,,
D06_C00_04_a,EOO_D06~C01~01~,나,고마워.,,,,,
D06_C00_04_b,EOO_D06~C01~01~,나,잘 가.,,,,,
D06_C01_01_,D06_C01_02_,수상한 후드,요즘 젊은이들한테 연어만큼 인기 있는 생선이 또 있을까? 트렌드를 모르면 요식업계에서 살아님기 힘들 거야.,Main_Hood,,,,
D06_C01_02_,D06_C01_O_,나,(수상한 후드에게 <color=#0000FF>연어</color>를 받았다.),,,,,IA_salmon
