대사 아이디,다음 대사,발화자,텍스트,외관 아이디,유형,주재료,카테고리,연출
D06_C01_O_,D06_C01_R_positive&&D06_C01_R_neutral&&D06_C01_R_negative,수상한 후드,날것의 연어 요리로 하나 만들어 줬으면 좋겠군.,Main_Hood,picky,연어&&,덮밥||샌드위치||국수,
D06_C01_R_positive,EOO_D06~C02~O~,수상한 후드,요리의 맛이 점점 발전하는 것 같... 아` 아니지` 아직 부족해. 너는 앞으로도 한참 발전해야 해!,Main_Hood,positive,,,
D06_C01_R_neutral,EOO_D06~C02~O~,수상한 후드,애송이` 맛있다고 장땡이 아니란 말을 꼭 네 귀로 직접 들어야 알겠느냐?,Main_Hood,neutral,,,
D06_C01_R_negative,EOO_D06~C02~O~,수상한 후드,... 그래` 이게 너의 방식이란 말이로구나...,Main_Hood,negative,,,
D06_C02_O_,D06_C02_R_positive&&D06_C02_R_neutral&&D06_C02_R_negative,손님,안녕하신가! 힘세고 강한 아침` 만일 내게 묻는다면 나는 덮밥.,P017,normal,,덮밥,
D06_C02_R_positive,EOO_D06~C03~O~,손님,신선함과 같은 맙소사! 멈추지 않는 감동의 눈물 흐르는.,P017,positive,,,
D06_C02_R_neutral,EOO_D06~C03~O~,손님,덮밥 그러나 심오한 맛의 향연 또한 받아들일 수 있는 주문 나 하다.,P017,neutral,,,
D06_C02_R_negative,EOO_D06~C03~O~,손님,이것은 매우 부적절한. 어찌하여 나의 순서 짝수 얻다 무시된?,P017,negative,,,
D06_C03_O_,D06_C03_R_positive&&D06_C03_R_negative,손님,제 최애가 저메추에서 피자를 추천해 줬어요! 그러니 오늘은 무슨 일이 있어도 피자를 먹을 거예요!,P018,strict,,피자,
D06_C03_R_positive,EOO_D06~C04~O~,손님,너무 맛있어요! 다음 팬싸에서 제 최애한테도 오막하세를 추천해 줄게요!,P018,positive,,,
D06_C03_R_negative,EOO_D06~C04~O~,손님,피자라고 했잖아요` 피자!! 으아앙~!,P018,negative,,,
D06_C04_O_,D06_C04_R_positive&&D06_C04_R_neutral&&D06_C04_R_negative,손님,내는 일평생 도마도에 설당이나 찍어뭇지` 이래 무신 식당에 와가 요리로 해가 무글 줄은 꿈에도 몰랐다 아이가.,P007,normal,&&토마토,,
D06_C04_R_positive,EOO_D06~C05~O~,손님,하~예 무시라. 니가 만들었따꼬? 가 얼라가 도마도에 환장하는데 좀 가 가가 노나묵고집다.,P007,positive,,,
D06_C04_R_neutral,EOO_D06~C05~O~,손님,개안타` 개안타. 살다 보믄 이런 날도 있는 기다. 이제부터라도 단디 하믄 된다.,P007,neutral,,,
D06_C04_R_negative,EOO_D06~C05~O~,손님,맛있는 도마도가 천지삐까린데 야는 와이라노. 고마 치아라` 파이다. 내는 이 안물란다.,P007,negative,,,
D06_C05_O_,D06_C05_R_positive&&D06_C05_R_neutral&&D06_C05_R_negative,손님,어느 날 아침 그레고르 감자가 편치 않은 꿈에서 깨어났을 때 그는 자신이 구운주먹밥 옆에서 한 조각의 엄청나게 바삭한 해시브라운으로 변해 있다는 것을 깨달았다.,P014,picky,&&감자,구운주먹밥,
D06_C05_R_positive,EOO_D06~C06~O~,손님,사장님이 어느 날 갑자기 바퀴벌레로 변한다면... 라따뚜이 영화처럼 아무나 한 명 붙잡고 계속 요리해 주세요.,P014,positive,,,
D06_C05_R_neutral,EOO_D06~C06~O~,손님,뻔하디 뻔한 맛이네요. 평범한 식당.,P014,neutral,,,
D06_C05_R_negative,EOO_D06~C06~O~,손님,누군가 당신에게 사과를 던진다면... 그냥 맞으세요.,P014,negative,,,
D06_C06_O_,D06_C06_R_positive&&D06_C06_R_neutral&&D06_C06_R_negative,손님,오오ㅠㅠ 분홍코누렁이 배고파ㅠㅠ,P001,generous,,,
D06_C06_R_positive,GTR_D07~C01~01~,손님,오오ㅠㅠ 오마카세냥이 사랑해ㅠㅠ,P001,positive,,,
D07_C01_01_,D07_C01_01_a&&D07_C01_01_b,박효진,야` 축하한다~ 드디어 영업 일주일 차 돌파!,Main_001_default,,,,SB_fanfare
D07_C01_01_a,D07_C01_02_,나,야호!,,,,,
D07_C01_01_b,D07_C01_02_,나,신난다!,,,,,
D07_C01_02_,D07_C01_O_,박효진,이런 기념일에는 샴페인이라도 한 병 터뜨려야 하는 거 아니냐? 물론 네 돈으로 말이지! 큭큭.,Main_001_default,,,,SB_champagne
D07_C01_O_,D07_C01_R_positive&&D07_C01_R_neutral&&D07_C01_R_negative,박효진,샴페인이랑 찰떡으로 잘 어울리는 연어 디쉬로 하나 내어오시죠~,Main_001_default,normal,연어&&,,
D07_C01_R_positive,EOO_D07~C02~O~,박효진,음` 역시 연어는 언제 먹어도 맛있다니까! 네 요리도 마찬가지고!,Main_001_default,positive,,,
D07_C01_R_neutral,EOO_D07~C02~O~,박효진,오... 연어는 아니지만 의외로 샴페인이랑 잘 어울리는 맛인데?,Main_001_default,neutral,,,
D07_C01_R_negative,EOO_D07~C02~O~,박효진,야` 너... 설마 다른 손님들 요구사항도 이런 식으로 무시하고 그러는 거 아니지...? 걱정돼서 하는 말이야.,Main_001_default,negative,,,
D07_C02_O_,D07_C02_R_positive&&D07_C02_R_neutral&&D07_C02_R_negative,손님,꽁꽁 얼어붙은 국수 위로 토마토가 걸어다닙니다.,P011,picky,&&토마토,국수,
D07_C02_R_positive,EOO_D07~C03~O~,손님,굿. 저는 손님의 주문을 존중해주는 식당이 좋아요.,P011,positive,,,
D07_C02_R_neutral,EOO_D07~C03~O~,손님,곱게 자란 내가 이런 음식을 먹을 수 있을 리 없잖아` 무리무리! (※무리가 아니었다?!),P011,neutral,,,
D07_C02_R_negative,EOO_D07~C03~O~,손님,이건 뭐 재미도 없고 감동도 없고 맛도 없고...,P011,negative,,,
D07_C03_O_,D07_C03_R_positive&&D07_C03_R_neutral&&D07_C03_R_negative,손님,제일 빨리 나오는 걸로 주세요. 제가 좀 급해요.,P005,generous,,,
D07_C03_R_positive,EOO_D07~C04~O~,손님,누군가 요리를 막 하는 것처럼 보인다면` 그 사람이 요리를 매우 잘하고 있다는 뜻이죠.,P005 ,positive,,,
D07_C04_O_,D07_C04_R_positive&&D07_C04_R_neutral&&D07_C04_R_negative,손님,정말 아름다운 날이야. 새들은 지저귀고` 꽃들은 피어나고... 이런 날엔` 너 같은 빵반죽들은... 오븐에서 불타야 해.,P003,normal,,피자,
D07_C04_R_positive,EOO_D07~C05~O~,손님,너` 의지를 가지고 뼈를 깎는 노력을 해왔구나?,P003,positive,,,
D07_C04_R_neutral,EOO_D07~C05~O~,손님,노력만 한다면` 누구나 좋은 요리사가 될 수 있을까?,P003,neutral,,,
D07_C04_R_negative,EOO_D07~C05~O~,손님,끔찍한 시간을 보내고 싶어?,P003,negative,,,
D07_C05_O_,D07_C05_R_positive&&D07_C05_R_negative,손님,참치` 덮밥에 타라.,P009,strict,참치&&,덮밥,
D07_C05_R_positive,EOO_D07~C06~O~,손님,오막하세여 신화가 되어라.,P009,positive,,,
D07_C05_R_negative,EOO_D07~C06~O~,손님,나의 참치덮밥은 이렇지 않아!,P009,negative,,,
D07_C06_O_,D07_C06_R_positive&&D07_C06_R_neutral&&D07_C06_R_negative,손님,태어난 국가` 태어난 시대` 태어난 환경과 신분... 우리는 그 무엇 하나 고를 수 없었지만` 태어나서 무엇을 먹고 살아갈 것인지는 고를 수 있죠. 오늘은 닭고기가 들어간 면 요리를 고를게요.,P006,picky,닭고기&&,국수||볶음면||오븐파스타,
D07_C06_R_positive,EOO_D07~C07~O~,손님,인간의 삶은 이처럼 선택의 연속이죠. 오늘 저의 선택은 제법 만족스러웠어요.,P006,positive,,,
D07_C06_R_neutral,EOO_D07~C07~O~,손님,맞아요` 때로는 내가 선택하지 않은 길이 나를 더 좋은 미래로 이끌어 줄 수도 있죠.,P006,neutral,,,
D07_C06_R_negative,EOO_D07~C07~O~,손님,아... 무언가를 선택할 수 있는 권리 따위` 처음부터 저에게는 주어지지 않았던 거네요.,P006,negative,,,
D07_C07_O_,D07_C07_R_positive&&D07_C07_R_neutral&&D07_C07_R_negative,손님,앗! 야생의 햄버거가 나타났다!,P010,normal,,햄버거,
D07_C07_R_positive,GTR_D08~C00~01~,손님,요리의 힘이란 대단해~!,P010,positive,,,
D07_C07_R_neutral,GTR_D08~C00~01~,손님,... 어라!? 햄버거의 상태가...?,P010,neutral,,,
D07_C07_R_negative,GTR_D08~C00~01~,손님,그만해! 햄버거는... 모두의 음식이다!!,P010,negative,,,
D08_C00_01_,D08_C00_01_a,나,가게 앞에 웬 당근 상자가...?,,,,,
D08_C00_01_a,D08_C00_02_,나,자세히 살펴보자.,,,,,
D08_C00_02_,D08_C00_03_,나,상자에 '오막하세 앞'이라고 적혀 있다. 누가 주려던 걸까? 상태를 보니 꽤 신선한데... 갖다 써야겠다!,,,,,
D08_C00_03_,EOO_D08~C01~O~,나,(<color=#0000FF>당근</color>을 획득했다.),,,,,IA_carrot
D08_C01_O_,D08_C01_R_positive&&D08_C01_R_negative,손님,내일 세계가 멸망하더라도 나는 한 그릇의 국수를 먹겠다.,P001,strict,,국수,
D08_C01_R_positive,EOO_D08~C02~O~,손님,아아` 이제 아무런 미련 없이 성불할 수 있어...,P001,positive,,,
D08_C01_R_negative,EOO_D08~C02~O~,손님,오늘 내 세계가 멸망했다...,P001,negative,,,
D08_C02_O_,D08_C02_R_positive&&D08_C02_R_neutral&&D08_C02_R_negative,손님,이봐` 친구! 그거 알아? 당근 한 개엔 자그마치 당근 한 개 분량의 베타카로틴이 있다는 놀라운 사실을!,P017,normal,&&당근,,
D08_C02_R_positive,EOO_D08~C03~O~,손님,바니바니 바니바니` 당!근! 당!근!,P017,positive,,,
D08_C02_R_neutral,EOO_D08~C03~O~,손님,주문은 무시당했지만 맛있는 게 나왔으니 좋았쓰!,P017,neutral,,,
D08_C02_R_negative,EOO_D08~C03~O~,손님,손님도 이제 한계다. 그냥 장사 접어라. 복잡한 주문 탓 재료 탓 장비 탓하지 마라.,P017,negative,,,
D08_C03_O_,D08_C03_R_positive&&D08_C03_R_neutral&&D08_C03_R_negative,손님,볶음밥이 되어버린 참치를 아시오?,P007,picky,참치&&,볶음밥,
D08_C03_R_positive,EOO_D08~C04~O~,손님,날개야 다시 돋아라. 날자. 날자. 한 번만 더 날아 보자꾸나.,P007,positive,,,
D08_C03_R_neutral,EOO_D08~C04~O~,손님,제일의아해도맛있다고그리오. 제이의아해도맛있다고그리오. 제삼의아해도맛있다고그리오.,P007,neutral,,,
D08_C03_R_negative,EOO_D08~C04~O~,손님,그대는 이따금 그대가 제일 싫어하는 음식을 탐식하는 아이러니를 실천해 보는 것도 좋을 것 같소.,P007,negative,,,
D08_C04_O_,D08_C04_R_positive,황수영,ㅁㅁ레스토랑이 웬일로 오늘은 문을 닫았더라고요. 그래서 여기 왔어요. 선택지가 두 개 있으니 역시 좋네요.,Main_002_default,generous,,,
D08_C04_R_positive,EOO_D08~C05~O~,황수영,잘 먹고 갑니다.,Main_002_default,positive,,,
D08_C05_O_,D08_C05_R_positive&&D08_C05_R_neutral&&D08_C05_R_negative,손님,엄밀히 말하면` 모든 버섯은 먹을 수 있어요. 어떤 버섯은 오직 한 번만 먹을 수 있을 뿐이죠.,P014,normal,&&버섯,,
D08_C05_R_positive,EOO_D08~C06~O~,손님,이런 버섯 요리는 두 번` 세 번이라도 계속 먹고 싶네요!,P014,positive,,,
D08_C05_R_neutral,EOO_D08~C06~O~,손님,제 돈 주고 사 먹을 맛은 아닌 것 같아요. 남이 사준다면 먹긴 할 듯?,P014,neutral,,,
D08_C05_R_negative,EOO_D08~C06~O~,손님,충격과 공포의 맛이었다...,P014,negative,,,
D08_C06_O_,D08_C06_R_positive&&D08_C06_R_negative,장하율,니모를 찾아주세요! 전설에 따르면 니모는 주황색 주먹밥 안에 숨어 있대요!,Main_006_default,strict,연어&&당근,구운주먹밥,SB_clownfish
D08_C06_R_positive,GTR_D09~C01~O~,장하율,우와 니모다! 찾는 걸 도와주셔서 감사합니다!,Main_006_default,positive,,,
D08_C06_R_negative,GTR_D09~C01~O~,장하율,우우... 이번에도 니모 찾기는 실패네요.,Main_006_default,negative,,,
D09_C01_O_,D09_C01_R_positive&&D09_C01_R_neutral&&D09_C01_R_negative,손님,볶음면. 더 이상의 자세한 주문은 생략한다.,P006,normal,,볶음면,
D09_C01_R_positive,EOO_D09~C02~O~,손님,음! 역시 이 식당에 오길 잘 했군.,P006,positive,,,
D09_C01_R_neutral,EOO_D09~C02~O~,손님,이걸 주문한 건 아니었던 것 같은데... 그래도 맛은 있네요.,P006,neutral,,,
D09_C01_R_negative,EOO_D09~C02~O~,손님,준비한 사회성이 모두 소진되어 좋은 후기를 남길 수 없습니다.,P006,negative,,,
D09_C02_O_,D09_C02_R_positive&&D09_C02_R_neutral&&D09_C02_R_negative,손님,맛있는 음식은 모두 비슷한 이유로 맛있지만` 맛없는 음식은 저마다의 이유가 있다. 예를 들자면` 버섯참치 피자.,P005,picky,참치&&버섯,피자,
D09_C02_R_positive,EOO_D09~C03~O~,손님,당신의 미래가 보여요... 오마카세 셰프로 성공한 미래!,P005,positive,,,
D09_C02_R_neutral,EOO_D09~C03~O~,손님,내 입맛을 망치러 온 나의 구원자여...,P005,neutral,,,
D09_C02_R_negative,EOO_D09~C03~O~,손님,대체 무슨 자신감으로 오마카세 식당을 차린 거예요?,P005,negative,,,
D09_C03_O_,D09_C03_R_positive&&D09_C03_R_neutral&&D09_C03_R_negative,손님,셰프. 돼지고기를 써서 빌드해라.,P012,normal,돼지고기&&,,
D09_C03_R_positive,GTR_D09~C05~01~,손님,return '감동';,P012,positive,,,
D09_C03_R_neutral,GTR_D09~C05~01~,손님,...리팩토링할 부분이 있다.,P012,neutral,,,
D09_C03_R_negative,GTR_D09~C05~01~,손님,에러 404.,P012,negative,,,
D09_C05_01_,D09_C05_02_,이지민,충격적인 소식입니다. ㅁㅁ레스토랑의 셰프가 뺑소니 사고를 당해 중환자실에 있다는 소식 들었어요? 깨어나지 못할 수도 있다더라고요.,Main_003_streaming,,,,
D09_C05_02_,D09_C05_O_,이지민,근데... 당신에게는 좋은 소식 아닌가요? 가장 큰 경쟁자가 사라졌으니` 이제 승승장구할 일만 남았잖아요!,Main_003_streaming,,,,
D09_C05_O_,D09_C05_R_positive,이지민,하하` 축하라도 해 드려야 하나? 지금 당신의 기분을 요리로 표현해 주세요.,Main_003_streaming,generous,,,
D09_C05_R_positive,EOO_D09~C06~O~,이지민,아~ 이렇게까지 어그로를 끌었으니 이번 영상도 조회수가 잘 나와야 할텐데!,Main_003_streaming,positive,,,
D09_C06_O_,D09_C07_R_positive&&D09_C07_R_negative,손님,고양이에게 생선가게를 맡기진 않지만` 저는 당신에게 생선 요리를 맡겨 볼게요.,P004,strict,연어||참치,,
D09_C06_R_positive,EOO_D09~C07~O~,손님,역시 당신에게 생선 요리를 맡기길 잘 했어요.,P004,positive,,,
D09_C06_R_negative,EOO_D09~C07~O~,손님,생선이 상했나요? 생선이 썩었나요? 생선 요리 맛이 대체 왜 이렇죠?,P004,negative,,,
D09_C07_O_,D09_C07_R_positive&&D09_C07_R_neutral&&D09_C07_R_negative,손님,타임지 선정 10대 슈퍼푸드에 토마토와 연어가 포함된다는 거 아셨어요? 저는 그걸 국수로 먹을래요!,P018,picky,연어&&토마토,국수,
D09_C07_R_positive,EOO_D09~C08~O~,손님,오막하세에서 밥을 먹고 나의 성공시대 시작됐다♪,P018,positive,,,
D09_C07_R_neutral,EOO_D09~C08~O~,손님,오막하세 셰프는 손님의 요구사항을 찢어(negative).,P018,neutral,,,
D09_C07_R_negative,EOO_D09~C08~O~,손님,외계인 침공시 손님 무시한 요리사가 먼저 잡아먹힌다,P018,negative,,,
D09_C08_O_,D09_C08_R_positive&&D09_C08_R_neutral&&D09_C08_R_negative,손님,미안하다 이거 주문하려고 어그로 끌었다... 참치 버섯 조합 수준 ㄹㅇ 실화냐? 진짜 세계관최강자들의 고로케다...,P003,picky,참치&&버섯,고로케,
D09_C08_R_positive,EOO_D09~C09~O~,손님,앙~ (^.^),P003,positive,,,
D09_C08_R_neutral,EOO_D09~C09~O~,손님,듀... (ㅇ.ㅇ),P003,neutral,,,
D09_C08_R_negative,EOO_D09~C09~O~,손님,뜌어어어어어 (ㅠ.ㅠ),P003,negative,,,
D09_C09_O_,D09_C09_R_positive&&D09_C09_R_neutral&&D09_C09_R_negative,손님,와! 구운주먹밥 할 줄 아시는구나! 진.짜.겁.나.맛.있.습.니.다,P010,normal,,구운주먹밥,
D09_C09_R_positive,EOO_D09~C10~O~,손님,저 오막하세의 단골이 될래요! 너무 맛있어요!,P010,positive,,,
D09_C09_R_neutral,EOO_D09~C10~O~,손님,"당신은 나름대로 열심히 한 것 같아도 음식이 생각보다 맛없을 수 있습니다. 그건 본인이 못 해서가 아니라 ""그 들""이 너무 강해서 그런 것입니다.",P010,neutral,,,
D09_C09_R_negative,EOO_D09~C10~O~,손님,대충 알았다... 이 식당의 레벨... 맛없어서 죽고싶어 졌다.,P010,negative,,,
D09_C10_O_,D09_C10_R_positive&&D09_C10_R_negative,손님,근의 공식은 몰라도 당근의 공식은 알아요! 바로 면과 돼지고기와 함께 먹는 거죠!,P008,strict,돼지고기&&당근,국수||볶음면||오븐파스타,
D09_C10_R_positive,GTR_D10~C00~01~,손님,공식은 실패하지 않는다! 으하하!,P008,positive,,,
D09_C10_R_negative,GTR_D10~C00~01~,손님,공식을 무시하시면 어떡해요?,P008,negative,,,
D10_C00_01_,D10_C00_01_a&&D10_C00_01_b,수상한 마스크,... 아버지께서는... 당신에게 재료를 전해주려다 사고를 당하셨어요.,Main_Mask,,,,
D10_C00_01_a,D10_C00_02_,나,그게 대체 무슨 소리에요?,,,,,
D10_C00_01_b,D10_C00_02_,나,더 자세히 말해주세요.,,,,,
D10_C00_02_,D10_C00_03_,남승준,저희 아버지... 남영기 셰프가... 그동안 당신에게 각종 재료를 가져다 주던 거예요. 저는 그 아들 남승준이고요.,Main_NSJ_default,,,,
D10_C00_03_,D10_C00_04_,남승준,당신이 아니었다면` 아버지께서 이곳에 오지 않으셨더라면... 흑... 그런 사고는 일어나지 않았을 겁니다.,Main_NSJ_default,,,,
D10_C00_04_,D10_C00_05_,남승준,... 전부 당신 때문이에요.,Main_NSJ_default,,,,
D10_C00_05_,D10_C00_06_,나,......,,,,,
D10_C00_06_,D10_C00_07_,남승준,흑... 아버지께서... 이걸 당신에게 전해 주라고 하셨어요.,Main_NSJ_default,,,,
D10_C00_07_,D10_C00_08_,나,(<color=#0000FF>편지</color>와 <color=#0000FF>소고기</color>를 받았다.),,,,,IA_beef
D10_C00_08_,D10_C00_09_,남승준,아버지의 마지막 부탁이니... 이것만은 당신에게 전해주러 왔습니다. 하지만...,Main_NSJ_default,,,,
D10_C00_09_,D10_C00_10_,남승준,앞으로는... 다시는 볼 일이 없었으면 좋겠습니다. 안녕히 계세요.,Main_NSJ_default,,,,
D10_C00_10_,D10_C00_10_a,나,......,,,,,
D10_C00_10_a,,나,편지를 읽어본다.,,,,,